https://github.com/zmap/ztag/tree/master/ztag/annotations
https://www.zoomeye.org/component
https://nmap.org/data/os-classes.txt

protocol | keyword pattern | IoT/multi-purpose | manufacturer | device_type | device_model | OS
-------------------------------------------------------------------------------------------------------------------
ftp,'SR 7750','IoT','ALCATEL','Router','SR 7750','TIMOS'
ftp,'Allworx','IoT','Allworx','VOIP','Unknown','Unknown'
ftp,'^220 AP\d+ Network Management Card AOS','IoT','APC','PDU','^220 (AP\d+)','AOS'
ftp,'^220 Welcome to ASUS','IoT','ASUS','SOHO_ROUTER','220 Welcome to ASUS (.+) FTP service','embedded'
ftp,'^220 Welcome to the WL700gE FTP service','IoT','ASUS','SOHO_ROUTER','WL700gE','embedded'
ftp,'^220 AXIS .*Network .*Camera','IoT','AXIS','Camera','^220 AXIS (.+ Camera) \d+\.\d+','embedded'
ftp,'^220 AXIS [^\s]* Video Encoder','IoT','AXIS','DVR','^220 AXIS (.+ Encoder(?: Blade)?) \d+','embedded'
ftp,'^220 Belkin Network USB Hub Ver \d+\.\d+\.\d+ FTP','BELKIN','USB_HUB','Unknown','embedded'
ftp,'^220[- ]BulletProof FTP Server ready','Desktop','BulletProof','software','WINDOWS'
ftp,'^220-(Welcome to )?Cerberus FTP Server','Desktop','Cerberus','software','WINDOWS'
ftp,'CesarFTP','Desktop','CesarFTP','software','WINDOWS'
ftp,'^220 ProFTPD (\d+\.\d+\.\d+)(([a-z])|(rc\d+))? Server \(DD-WRT\)','IoT','DD-WRT','SOHO_ROUTER','ProFTPD','embedded'
ftp,'^220 (\w+ )?Dell (\w+ )?Laser Printer','IoT','DELL','Printer','^220 ET[0-9A-Z]+ Dell (\w+ Laser) Printer','embedded'
ftp,'^220 Dell (\w+ )?Color Laser','IoT','DELL','Printer','^220 Dell (?:Color )?Laser(?: Printer)? (\w+)','embedded'
ftp,'^220 Welcome to DCS-\d+[A-Z+]? FTP Server','IoT','DLINK','Camera','^220 Welcome to (DCS-\d+[+A-Z]?) FTP','embedded'
ftp,'^220 DCS-\d+[A-Z+]? FTP server ready','IoT','DLINK','Camera','^220 (DCS-\d+[+A-Z]?) FTP','embedded'
